127.0.0.1 - - [20/Jan/2024:11:59:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jan/2024:11:59:12 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [20/Jan/2024:11:59:14 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [20/Jan/2024:11:59:21 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [20/Jan/2024:11:59:21 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [20/Jan/2024:11:59:24 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:12:55 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:14:32 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:18:48 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:18:48 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:19:49 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:19:49 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:19:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:19:49 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:21:32 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6597
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:21:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:21:32 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:24:25 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6768
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:24:25 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:24:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:27:28 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6698
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:27:28 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:27:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:27:36 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6771
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:27:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:27:36 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:29:56 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:29:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:29:57 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:32:33 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6527
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:32:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:32:34 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:38 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:38 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:38 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:49 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:49 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:49 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:50 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:50 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:50 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:51 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:52 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:52 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:52 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:52 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:52 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [20/Jan/2024:12:45:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
