127.0.0.1 - - [19/Feb/2024:12:13:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:13:57 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:14:23 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:14:26 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:14:47 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:14:47 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:14:55 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:14:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:17:40 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:17:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:20:01 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:20:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:25:54 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:25:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:27:26 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:27:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:27:33 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 9725
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:27:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:28:43 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:28:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:30:32 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:30:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:31:13 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:31:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:31:58 +0530] "GET /Project_4/ctl/UserCtl?id=9 HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:31:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:34:25 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:34:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
