127.0.0.1 - - [05/Mar/2024:14:57:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:57:32 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:57:34 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:57:35 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:57:47 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:57:47 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:57:50 +0530] "GET /Project_4/ctl/OrderListCtl HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:57:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:57:53 +0530] "POST /Project_4/ctl/OrderListCtl HTTP/1.1" 200 6530
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:57:57 +0530] "POST /Project_4/ctl/OrderListCtl HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:58:02 +0530] "GET /Project_4/ctl/OrderCtl?id=4 HTTP/1.1" 500 4754
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:58:05 +0530] "GET /Project_4/ctl/PaymentListCtl HTTP/1.1" 500 6407
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:58:08 +0530] "GET /Project_4/ctl/OrderCtl HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:58:10 +0530] "GET /Project_4/ctl/PaymentListCtl HTTP/1.1" 500 6407
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:58:11 +0530] "GET /Project_4/ctl/OrderCtl HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:58:15 +0530] "GET /Project_4/ctl/OrderListCtl HTTP/1.1" 200 6207
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:58:17 +0530] "GET /Project_4/ctl/OrderCtl?id=4 HTTP/1.1" 500 4754
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:58:18 +0530] "POST /Project_4/ctl/OrderCtl HTTP/1.1" 500 4783
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:58:22 +0530] "GET /Project_4/ctl/OrderCtl HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:59:59 +0530] "GET /Project_4/ctl/OrderCtl HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [05/Mar/2024:15:00:00 +0530] "GET /Project_4/ctl/OrderListCtl HTTP/1.1" 200 6207
0:0:0:0:0:0:0:1 - - [05/Mar/2024:15:00:02 +0530] "POST /Project_4/ctl/OrderListCtl HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [05/Mar/2024:15:00:04 +0530] "GET /Project_4/ctl/OrderCtl?id=4 HTTP/1.1" 500 4754
0:0:0:0:0:0:0:1 - - [05/Mar/2024:15:00:15 +0530] "GET /Project_4/ctl/PaymentListCtl HTTP/1.1" 500 6407
